timestamp,open,high,low,close,volume
2019-07-12,318.0000,324.0000,312.0000,316.0000,18353300
2019-07-11,304.0000,318.0000,302.0000,314.0000,22818800
2019-07-10,300.0000,306.0000,298.0000,302.0000,2913200
2019-07-09,302.0000,304.0000,298.0000,300.0000,1383500
2019-07-08,302.0000,306.0000,298.0000,302.0000,1404600
2019-07-05,304.0000,308.0000,300.0000,302.0000,3671200
2019-07-04,292.0000,304.0000,292.0000,304.0000,4307200
2019-07-03,290.0000,294.0000,290.0000,292.0000,2161500
2019-07-02,292.0000,296.0000,290.0000,290.0000,769400
2019-07-01,292.0000,298.0000,290.0000,294.0000,1682900
2019-06-28,296.0000,300.0000,290.0000,292.0000,3743400
2019-06-27,288.0000,294.0000,288.0000,294.0000,2740800
2019-06-26,290.0000,290.0000,284.0000,286.0000,852000
2019-06-25,292.0000,294.0000,288.0000,288.0000,1452600
2019-06-24,292.0000,296.0000,290.0000,292.0000,950900
2019-06-21,292.0000,298.0000,292.0000,292.0000,2663400
2019-06-20,294.0000,302.0000,286.0000,292.0000,10127000
2019-06-19,276.0000,300.0000,276.0000,290.0000,8018500
2019-06-18,278.0000,280.0000,272.0000,276.0000,1665500
2019-06-17,280.0000,284.0000,276.0000,278.0000,2093000
2019-06-14,284.0000,284.0000,272.0000,280.0000,2154900
2019-06-13,282.0000,284.0000,280.0000,280.0000,2199000
2019-06-12,284.0000,286.0000,282.0000,282.0000,702800
2019-06-11,286.0000,288.0000,280.0000,282.0000,2054800
2019-06-10,282.0000,290.0000,282.0000,286.0000,1121100
2019-06-07,282.0000,282.0000,282.0000,282.0000,0
2019-06-06,282.0000,282.0000,282.0000,282.0000,0
2019-06-05,282.0000,282.0000,282.0000,282.0000,0
2019-06-04,282.0000,282.0000,282.0000,282.0000,0
2019-06-03,282.0000,282.0000,282.0000,282.0000,0
2019-05-31,280.0000,284.0000,280.0000,282.0000,1607600
2019-05-30,280.0000,280.0000,280.0000,280.0000,0
2019-05-29,278.0000,282.0000,278.0000,280.0000,613200
2019-05-28,280.0000,284.0000,276.0000,278.0000,1830100
2019-05-27,274.0000,282.0000,274.0000,278.0000,2929400
2019-05-24,274.0000,278.0000,270.0000,274.0000,1285700
2019-05-23,262.0000,280.0000,262.0000,272.0000,5153300
2019-05-22,266.0000,268.0000,262.0000,262.0000,860300
2019-05-21,266.0000,274.0000,264.0000,266.0000,5484600
2019-05-20,270.0000,270.0000,256.0000,266.0000,2202400
2019-05-17,282.0000,286.0000,268.0000,270.0000,4575400
2019-05-16,290.0000,296.0000,282.0000,282.0000,1704400
2019-05-15,294.0000,298.0000,288.0000,290.0000,1639700
2019-05-14,294.0000,296.0000,288.0000,294.0000,1813800
2019-05-13,308.0000,310.0000,294.0000,294.0000,5180700
2019-05-10,308.0000,310.0000,304.0000,308.0000,1907900
2019-05-09,308.0000,312.0000,308.0000,308.0000,1891700
2019-05-08,314.0000,314.0000,308.0000,308.0000,3558900
2019-05-07,318.0000,320.0000,314.0000,314.0000,1668800
